step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
1,55.0053325488957,55.200716154233106,55.200716154233106,30.0,25.200716154233106,55.200716154233106,0.0,12.0,138,201,distance_too_large_reduce_distance,0.10665097791405097
2,54.0320920975095,54.57463475357258,54.98158766400192,30.0,24.98158766400192,54.02158766400192,-0.6260814006605244,11.19679310830347,134,199,distance_too_large_reduce_distance,-0.3639944371841734
3,52.24436792498266,51.77594441990101,53.8596125285666,30.0,23.8596125285666,52.963869079902324,-2.2456432441009113,10.884831477404227,133,190,distance_too_large_reduce_distance,0.26265791853226
4,49.72745780887721,49.00051931037693,52.158929902200214,30.0,22.158929902200214,51.288143384007874,-3.9633497695253936,10.375613074858514,131,177,distance_too_large_reduce_distance,0.3291976507369248
5,46.52253923910902,44.92906867021193,49.628478471004314,30.0,19.628478471004314,48.798429425015634,-6.359074713795941,9.424701513758807,127,157,distance_too_large_reduce_distance,-0.6828623160288427
6,42.76520070675381,43.54249909234277,47.49838568847278,30.0,17.49838568847278,46.744409567372074,-5.255930332672861,8.880617233128813,125,139,distance_too_large_reduce_distance,-0.4557628274018113
7,38.56266370006858,38.57598954052942,44.3755470366926,30.0,14.375547036692602,43.6650976580423,-8.168420026842654,7.566254113696826,120,115,distance_too_large_reduce_distance,0.04474414110854988
8,34.04346970938956,34.208054785347024,40.81692474872165,30.0,10.816924748721647,40.2116244196259,-9.457042872695276,6.13801422401788,114,86,distance_too_large_reduce_distance,-0.11068490732025377
9,29.349284139880318,28.722408238675825,36.583843970205606,30.0,6.583843970205606,36.09280283228418,-11.489216180950073,4.310497088674308,107,52,distance_too_large_reduce_distance,-0.005880405126501078
10,24.623923524410237,25.605121947839006,32.741291262377295,30.0,2.7412912623772954,32.39645149528335,-10.487680884445172,2.8236604958733773,101,21,distance_too_large_reduce_distance,-0.298565374650753
11,20.018834776913295,20.77339523905571,28.55252765421474,30.0,-1.4474723457852612,28.326634814544867,-11.623056256227642,0.9665012971847905,93,11,stable_near_target,0.30778929120199
12,15.67239349683636,15.574934391646208,24.010370012315754,30.0,-5.989629987684246,23.93304990854097,-12.75170042289866,-1.1087960496500613,85,47,distance_too_small_increase_distance,0.2722271774001319
13,11.720062327544138,11.275371561222313,19.55312055443305,30.0,-10.44687944556695,19.641824238405054,-12.657678347318656,-3.1188642131607196,77,83,distance_too_small_increase_distance,0.023110744146425614
14,8.313630198277169,8.028277091030304,15.51942534224209,30.0,-14.48057465775791,15.768934479294948,-11.61354714737475,-4.937042888095107,70,115,distance_too_small_increase_distance,0.3945344224388115
15,5.548793162595906,4.909892728656187,11.806088927487025,30.0,-18.193911072512975,12.201052358534634,-10.859041750638761,-6.699073912944032,63,145,distance_too_small_increase_distance,0.16362826978821596
16,5.0,5.021251319392433,9.431395764653917,30.0,-20.568604235346083,9.96732167768944,-7.179801039142201,-7.7104725894412995,59,164,distance_too_small_increase_distance,-0.30075236200913336
17,5.0,4.507065824239563,7.707880285508893,30.0,-22.292119714491108,8.324718092664197,-5.460255853449878,-8.625471795988195,55,178,distance_too_small_increase_distance,0.1290627744288746
18,5.0,5.468434016433633,6.924074091332552,30.0,-23.075925908667447,7.614111835011608,-2.8562840762305637,-9.09407324347916,53,184,distance_too_small_increase_distance,-0.3356089102901496
19,5.258850610518313,4.971275750791318,6.2405946721431205,30.0,-23.75940532785688,6.968120531621453,-2.6428360842202894,-9.715453788959456,51,190,distance_too_small_increase_distance,0.30745760545754536
20,6.275944277974841,5.9927786268233545,6.1538590562812026,30.0,-23.846140943718797,6.931095359397959,-0.9753419047980989,-9.97829122504519,50,190,distance_too_small_increase_distance,-0.017474068845188512
21,8.016869595350986,9.246671998712578,7.236343586132184,30.0,-22.763656413867814,8.0346068841358,2.315576639314619,-9.607874136658957,51,182,distance_too_small_increase_distance,-0.0647018272408412
22,10.392643804416448,9.812068186374804,8.137847196217102,30.0,-21.862152803782898,8.906477127149818,1.7774613022390042,-9.59699071482857,51,174,distance_too_small_increase_distance,-0.23832534054137947
23,13.391267549460409,12.136934839104036,9.537527871227528,30.0,-20.462472128772472,10.305287128413815,3.2304577119542177,-9.206462958972164,53,163,distance_too_small_increase_distance,0.4278894685359106
24,16.91380040313286,17.20677255705882,12.221763511268481,30.0,-17.77823648873152,12.958280547986254,6.901485428645005,-8.063155445179222,57,142,distance_too_small_increase_distance,-0.054085318724080754
25,20.827312655774726,19.165017846647228,14.651902528651043,30.0,-15.348097471348957,15.29695496426538,6.206737298660974,-7.3286197769336265,60,122,distance_too_small_increase_distance,-0.14991473775708752
26,25.04700629575281,25.258509204413386,18.36421486516786,30.0,-11.63578513483214,18.95050444732255,9.961554240148006,-5.661907242409509,67,93,distance_too_small_increase_distance,-0.12324674267088034
